query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,Cost,Trials
query_cycle_6_92.graph,WJ_uniform_multi,3999965.0,11250823.478957916,1.8127304811311888,1.8127304811311888,0.07214428857715431,1002,499
query_cycle_6_92.graph,WJ_importance_multi,3999965.0,31127872.286893245,6.782036164539751,6.782036164539751,0.08519269776876268,1000,493
query_cycle_6_96.graph,WJ_uniform_multi,33346.0,27189.41193181818,-0.18462748360168596,0.18462748360168596,0.004362824675324675,1000,29568
query_cycle_6_96.graph,WJ_importance_multi,33346.0,37998.27898963125,0.1395153538544729,0.1395153538544729,0.0037038209503308115,1000,31589
query_cycle_8_222.graph,WJ_uniform_multi,1745210.0,4314793.232467211,1.4723633445070856,1.4723633445070856,0.00014847809948032666,1000,40410
query_cycle_8_222.graph,WJ_importance_multi,1745210.0,1216204.348908632,-0.3031186224530962,0.3031186224530962,0.0002841379963535624,1004,42233
query_cycle_8_223.graph,WJ_uniform_multi,17340.0,0.0,-1.0,1.0,0.0,55,50000
query_cycle_8_223.graph,WJ_importance_multi,17340.0,0.0,-1.0,1.0,0.0,69,50000
query_cycle_8_225.graph,WJ_uniform_multi,1542731.0,22015.91329135733,-0.9857292598052693,0.9857292598052693,0.000281928390188892,1003,31923
query_cycle_8_225.graph,WJ_importance_multi,1542731.0,865497.2827197562,-0.4389836706984197,0.4389836706984197,0.0010344034939851353,1002,26102
query_cycle_8_232.graph,WJ_uniform_multi,88626.0,60556.10792,-0.31672299415521404,0.31672299415521404,8e-05,184,50000
query_cycle_8_232.graph,WJ_importance_multi,88626.0,90.5975914819598,-0.9989777538026995,0.9989777538026995,4e-05,170,50000
query_cycle_8_249.graph,WJ_uniform_multi,396355.0,73753.30116,-0.8139211031524769,0.8139211031524769,0.0001,600,50000
query_cycle_8_249.graph,WJ_importance_multi,396355.0,947189.5244013655,1.3897504116293866,1.3897504116293866,0.00034,584,50000
query_cycle_8_250.graph,WJ_uniform_multi,396355.0,2296.96152,-0.9942047873244945,0.9942047873244945,8e-05,552,50000
query_cycle_8_250.graph,WJ_importance_multi,396355.0,314.56408477117253,-0.9992063577228213,0.9992063577228213,8e-05,446,50000
query_cycle_8_251.graph,WJ_uniform_multi,1330345.0,878658.2521526718,-0.33952602358585793,0.33952602358585793,0.0004885496183206107,1002,32750
query_cycle_8_251.graph,WJ_importance_multi,1330345.0,1276813.0101881525,-0.04023917841751384,0.04023917841751384,0.00034070582890888956,1001,35221
query_cycle_8_254.graph,WJ_uniform_multi,346202.0,157624.61481586003,-0.544703338467542,0.544703338467542,0.0003668689149146324,1000,35435
query_cycle_8_254.graph,WJ_importance_multi,346202.0,2894.123288156499,-0.9916403623082578,0.9916403623082578,0.00044496710421765246,1001,31463
query_cycle_8_261.graph,WJ_uniform_multi,224284.0,59394.88044814865,-0.7351800375945291,0.7351800375945291,0.0007173111080748736,1003,29276
query_cycle_8_261.graph,WJ_importance_multi,224284.0,35417.683692982915,-0.8420855536151357,0.8420855536151357,0.0005956517422813462,1000,30219
query_cycle_8_262.graph,WJ_uniform_multi,809416.0,1059076.351800414,0.3084450416107589,0.3084450416107589,0.0009595474976011312,1001,19801
query_cycle_8_262.graph,WJ_importance_multi,809416.0,154569.26125141536,-0.8090360689047222,0.8090360689047222,0.0008068854222700376,1002,22308
